iter	RMSE
596	9175.015165
597	9166.348682
598	9147.85777
599	9133.731266
600	9127.700246
601	9118.145565
602	9101.493853
603	9087.911819
604	9072.631998
605	9060.647472
606	9050.857799
607	9045.571745
608	9034.069141
609	9023.383822
610	9008.532086
611	8994.22172
612	8991.78744
613	8975.788898
614	8961.120313
615	8943.410846
616	8932.898135
617	8921.152752
618	8907.663145
619	8901.483933
620	8896.530752
621	8880.284623
622	8868.485026
623	8848.569814
624	8840.65888
625	8826.332925
626	8817.311641
627	8812.416875
628	8807.306107
629	8800.180043
630	8778.593896
631	8763.579078
632	8759.153647
633	8743.297888
634	8732.997647
635	8731.187254
636	8715.584532
637	8704.585911
638	8703.033511
639	8694.919384
640	8693.640072
641	8668.020685
642	8649.642829
643	8633.969414
644	8630.622101
645	8617.873486
646	8605.913027
647	8602.839194
648	8594.750902
649	8579.053909
650	8573.845754
651	8560.259619
652	8549.732981
653	8547.400522
654	8532.897
655	8522.42178
656	8513.914319
657	8513.060298
658	8499.456149
659	8486.367351
660	8482.989251
661	8466.748939
662	8461.155031
663	8452.355478
664	8446.297676
665	8435.211067
666	8425.007436
667	8421.955116
668	8420.881426
669	8410.1608
670	8400.767842
671	8396.641713
672	8383.889778
673	8375.635224
674	8370.778764
675	8357.731915
676	8351.073458
677	8344.620875
678	8333.344528
679	8325.35979
680	8321.996981
681	8312.939731
682	8308.644346
683	8307.964827
684	8292.793072
685	8288.678687
686	8285.675299
687	8284.91855
688	8277.347919
689	8262.960824
690	8253.411715
691	8245.048489
692	8240.493557
693	8232.925575
694	8217.659629
695	8206.818213
696	8198.159754
697	8187.26232
698	8176.785149
699	8157.44067
700	8152.580103
701	8143.687982
702	8134.029241
703	8125.17907
704	8119.43833
705	8118.7545
706	8111.67655
707	8098.368854
708	8090.494761
709	8075.006119
710	8065.359897
711	8059.699385
712	8048.936203
713	8036.075897
714	8029.426079
715	8019.300402
716	8012.84226
717	7997.129672
718	7988.932007
719	7986.577793
720	7980.882107
721	7970.742463
722	7962.328993
723	7945.223362
724	7938.000549
725	7930.028782
726	7923.923157
727	7910.666958
728	7906.880265
729	7898.518979
730	7889.444947
731	7882.714469
732	7876.987825
733	7875.359213
734	7870.347378
735	7858.525629
736	7851.375762
737	7849.467519
738	7841.134679
739	7833.680828
740	7825.47238
741	7820.259276
742	7813.444923
743	7807.289547
744	7798.527391
745	7790.845753
746	7781.632248
747	7770.146982
748	7759.842168
749	7756.255168
750	7744.006781
751	7732.179356
752	7728.414337
753	7711.15658
754	7699.798021
755	7692.802031
756	7689.852278
757	7686.950828
758	7684.66415
759	7683.222725
760	7676.435027
761	7663.341857
762	7654.522768
763	7652.367245
764	7647.800323
765	7638.376263
766	7628.757514
767	7615.549287
768	7604.280433
769	7598.797095
770	7592.845793
771	7579.971224
772	7573.042853
773	7564.345186
774	7556.07863
775	7543.653362
776	7537.109782
777	7526.486163
778	7520.838759
779	7512.058165
780	7508.781533
781	7495.890261
782	7493.284405
783	7479.77706
784	7479.29686
785	7476.389047
786	7464.036267
787	7454.829672
788	7449.167374
789	7445.901865
790	7431.961543
791	7429.489223
792	7422.576383
793	7414.251998
794	7402.473001
795	7387.10743
796	7376.537308
797	7370.159184
798	7362.211908
799	7356.721205
800	7349.889911
801	7336.200616
802	7327.681236
803	7313.67112
804	7305.761253
805	7294.472147
806	7284.152135
807	7275.250962
808	7264.559259
809	7252.431972
810	7250.216172
811	7243.269175
812	7242.79375
813	7239.498057
814	7230.885489
815	7212.662589
816	7212.205087
817	7198.70662
818	7189.183218
819	7179.667055
820	7173.800934
821	7171.01586
822	7163.946371
823	7156.64704
824	7141.247848
825	7132.798871
826	7125.795494
827	7118.924656
828	7115.696101
829	7115.206343
830	7110.311062
831	7107.748312
832	7107.04702
833	7090.411464
834	7083.151761
835	7073.742606
836	7062.337136
837	7048.21523
838	7045.839586
839	7034.694426
840	7027.308227
841	7023.305063
842	7014.083995
843	7011.233659
844	7003.903937
845	6993.554768
846	6988.013459
847	6987.024136
848	6986.535783
849	6985.476198
850	6980.49791
851	6971.231567
852	6959.610198
853	6952.093465
854	6947.005583
855	6936.709287
856	6935.251488
857	6924.362555
858	6919.775602
859	6918.961414
860	6908.991851
861	6899.895868
862	6888.163763
863	6881.123322
864	6872.822506
865	6863.312927
866	6853.307516
867	6840.569747
868	6837.800277
869	6837.396216
870	6831.057378
871	6820.39163
872	6815.663146
873	6815.257443
874	6806.081812
875	6801.038527
876	6789.620389
877	6780.065143
878	6767.2542
879	6761.755555
880	6754.307106
881	6743.348673
882	6738.098011
883	6735.644021
884	6726.177891
885	6712.970632
886	6712.517566
887	6702.02436
888	6701.671189
889	6700.407576
890	6694.026558
891	6687.40263
892	6677.625695
893	6672.533317
894	6659.66494
895	6657.962577
896	6651.527362
897	6641.056502
898	6639.263941
899	6638.721047
900	6625.549705
901	6611.711524
902	6593.707698
903	6585.495421
904	6576.517203
905	6569.994094
906	6567.316822
907	6557.31757
908	6547.952966
909	6542.569429
910	6537.695498
911	6527.762734
912	6520.874518
913	6520.004146
914	6519.280731
915	6506.810397
916	6499.260828
917	6487.9106
918	6482.181137
919	6481.327746
920	6480.249833
921	6471.383428
922	6462.56732
923	6453.408004
924	6447.394863
925	6438.815396
926	6428.070972
927	6427.223374
928	6415.686653
929	6408.411403
930	6399.620776
931	6390.40911
932	6389.01698
933	6388.692899
934	6381.128638
935	6374.282946
936	6369.131458
937	6363.911329
938	6352.224626
939	6351.176891
940	6339.707212
941	6332.294589
942	6324.177357
943	6323.573973
944	6321.822798
945	6310.386923
946	6302.900599
947	6296.112977
948	6295.355208
949	6291.366182
950	6280.111235
951	6274.314628
952	6271.833358
953	6261.951445
954	6256.446432
955	6249.255424
956	6248.542799
957	6243.60732
958	6239.739929
959	6231.185122
960	6224.775954
961	6218.978703
962	6216.007068
963	6215.65884
964	6212.048174
965	6203.323322
966	6196.71439
967	6189.702524
968	6182.561513
969	6178.905895
970	6174.242774
971	6166.528088
972	6166.262149
973	6162.165971
974	6154.430335
975	6150.618767
976	6146.023004
977	6139.531411
978	6138.337119
979	6137.217765
980	6129.726189
981	6126.737776
982	6121.13779
983	6112.247923
984	6104.158327
985	6099.777783
986	6095.443062
987	6088.566975
988	6087.845379
989	6075.337826
990	6069.754582
991	6069.421219
992	6066.818908
993	6060.424261
994	6060.081716
995	6050.272779
996	6039.048184
997	6031.190919
998	6026.206082
999	6021.475612
